Read.ID,TeamID,EcoplateID,Plate,Day,DayNumber,Sample.ID,Pyruvic.Acid.Methyl.Ester,Tween.40,Tween.80,alpha.Cyclodextrin,Glycogen,D.Cellobiose,alpha.D.Lactose,beta.Methyl.D.Glucoside,D.Xylose,i.Erythritol,D.Mannitol,N.Acetyl.D.Glucosamine,D.Glucosaminic.Acid,Glucose.1.Phosphate,alpha.Glycerol.Phosphate,D.Galactonic.Acid.gamma.Lactone,D.Galacturonic.Acid,X2.Hydroxy.Benzoic.Acid,X4.Hydroxy.Benzoic.Acid,gamma.Hydroxybutyric.Acid,Itaconic.Acid,alpha.Ketobutyric.Acid,D.Malic.Acid,L.Arginine,L.Asparagine,L.Phenylalanine,L.Serine,L.Threonine,Glycyl.L.Glutamic.Acid,Phenylethyl.amine,Putrescine
Team-1_Plate-1_Day-6,W17-1,W17-1-E1,Plate-1,Day-6,6,Sample_2,NA,NA,0.033,NA,NA,NA,NA,NA,0.078,NA,0.066,NA,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-1_Day-6,W17-1,W17-1-E1,Plate-1,Day-6,6,Sample_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-1_Day-8,W17-1,W17-1-E1,Plate-1,Day-8,8,Sample_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,NA,NA,NA,NA,NA,NA
Team-1_Plate-1_Day-8,W17-1,W17-1-E1,Plate-1,Day-8,8,Sample_2,NA,NA,NA,NA,NA,NA,NA,NA,0.092,NA,0.051,NA,NA,NA,NA,0.04,NA,NA,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-1_Day-8,W17-1,W17-1-E1,Plate-1,Day-8,8,Sample_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-2_Day-0,W17-1,W17-1-E2,Plate-2,Day-0,0,Sample_1,NA,NA,NA,NA,NA,NA,NA,0.028,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,0,NA,0,NA,0.065,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-2_Day-0,W17-1,W17-1-E2,Plate-2,Day-0,0,Sample_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-2_Day-0,W17-1,W17-1-E2,Plate-2,Day-0,0,Sample_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-2_Day-10,W17-1,W17-1-E2,Plate-2,Day-10,10,Sample_1,0.464,0.891,0.192,NA,NA,0.435,0.743,0.661,0.367,0.259,0.501,0.783,0.534,NA,NA,0.011,0.343,NA,NA,NA,NA,0.051,0.437,0.269,0.292,0.085,NA,NA,NA,NA,NA
Team-1_Plate-2_Day-10,W17-1,W17-1-E2,Plate-2,Day-10,10,Sample_2,0.143,0.62,0.354,NA,0.082,0.656,0.19,NA,0.378,0.377,0.26,0.336,NA,NA,NA,NA,0.086,NA,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-2_Day-10,W17-1,W17-1-E2,Plate-2,Day-10,10,Sample_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051,NA,0.133,NA,NA,NA,NA
Team-1_Plate-2_Day-12,W17-1,W17-1-E2,Plate-2,Day-12,12,Sample_1,0.694,1.136,0.312,NA,0.055,0.577,0.94,0.707,0.493,0.396,0.622,0.951,0.505,NA,NA,0.005,0.462,NA,0.031,NA,NA,0.127,0.781,0.314,0.358,0.155,0.139,NA,NA,NA,NA
Team-1_Plate-2_Day-12,W17-1,W17-1-E2,Plate-2,Day-12,12,Sample_2,0.242,0.797,0.648,NA,0.244,0.823,0.361,0.052,0.589,0.564,0.396,0.554,NA,NA,NA,0.016,0.178,0.03,0.138,NA,NA,NA,NA,0.001,0.031,0.025,NA,NA,NA,NA,NA
Team-1_Plate-2_Day-12,W17-1,W17-1-E2,Plate-2,Day-12,12,Sample_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,NA,NA,NA,NA,NA,0.082,NA,0.194,NA,NA,NA,NA
Team-1_Plate-2_Day-6,W17-1,W17-1-E2,Plate-2,Day-6,6,Sample_1,0.161,0.483,0.03,NA,NA,NA,0.08,0.298,0.13,0.089,0.151,0.281,0.06,NA,NA,0.026,0.024,NA,NA,NA,NA,NA,NA,0.061,0.047,NA,NA,NA,NA,NA,NA
Team-1_Plate-2_Day-6,W17-1,W17-1-E2,Plate-2,Day-6,6,Sample_2,NA,NA,0.004,NA,NA,0.092,NA,NA,0.07,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-2_Day-6,W17-1,W17-1-E2,Plate-2,Day-6,6,Sample_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-2_Day-8,W17-1,W17-1-E2,Plate-2,Day-8,8,Sample_1,0.443,0.758,0.114,NA,NA,0.365,0.592,0.582,0.323,0.238,0.412,0.616,0.557,NA,NA,NA,0.225,NA,NA,NA,NA,0.053,0.196,0.172,0.216,0.068,NA,NA,NA,NA,NA
Team-1_Plate-2_Day-8,W17-1,W17-1-E2,Plate-2,Day-8,8,Sample_2,0.079,0.391,0.217,NA,NA,0.498,0.037,NA,0.24,0.301,0.166,0.197,NA,NA,NA,NA,0.062,NA,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-2_Day-8,W17-1,W17-1-E2,Plate-2,Day-8,8,Sample_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122,NA,NA,NA,NA
Team-1_Plate-3_Day-0,W17-1,W17-1-E3,Plate-3,Day-0,0,Sample_1,NA,0.073,0.047,NA,NA,NA,NA,NA,0.023,NA,0.043,0.038,0.057,0.027,NA,0.055,0.017,0.093,0.108,0.241,0.175,0.174,0.161,NA,0.085,0.055,0.043,0.101,0.074,0.023,0.002
Team-1_Plate-3_Day-0,W17-1,W17-1-E3,Plate-3,Day-0,0,Sample_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-3_Day-0,W17-1,W17-1-E3,Plate-3,Day-0,0,Sample_3,0.05,0.163,0.138,0.139,0.081,0.119,0.113,NA,0.039,0.003,0.12,0,NA,0.037,0.032,0.066,0.032,NA,NA,0.178,0.021,0.183,0.131,0.024,NA,0.056,0.011,0.085,0.076,0.094,0.076
Team-1_Plate-3_Day-10,W17-1,W17-1-E3,Plate-3,Day-10,10,Sample_1,NA,0.079,0.099,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-3_Day-10,W17-1,W17-1-E3,Plate-3,Day-10,10,Sample_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-3_Day-10,W17-1,W17-1-E3,Plate-3,Day-10,10,Sample_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-3_Day-12,W17-1,W17-1-E3,Plate-3,Day-12,12,Sample_1,NA,NA,NA,NA,NA,NA,NA,0.011,NA,NA,NA,NA,NA,NA,NA,0.009,NA,NA,NA,NA,NA,NA,NA,0.037,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-3_Day-12,W17-1,W17-1-E3,Plate-3,Day-12,12,Sample_2,NA,0.128,NA,NA,NA,NA,NA,NA,NA,0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-3_Day-12,W17-1,W17-1-E3,Plate-3,Day-12,12,Sample_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-3_Day-6,W17-1,W17-1-E3,Plate-3,Day-6,6,Sample_1,NA,NA,NA,NA,NA,NA,NA,0.035,NA,NA,NA,NA,NA,NA,NA,0.027,NA,NA,NA,NA,NA,NA,NA,0.012,NA,NA,NA,NA,0.002,0.04,NA
Team-1_Plate-3_Day-6,W17-1,W17-1-E3,Plate-3,Day-6,6,Sample_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-3_Day-6,W17-1,W17-1-E3,Plate-3,Day-6,6,Sample_3,0.041,0.003,0.045,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-3_Day-8,W17-1,W17-1-E3,Plate-3,Day-8,8,Sample_1,NA,NA,NA,NA,NA,NA,NA,0.006,NA,NA,NA,NA,NA,NA,NA,0.042,NA,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-3_Day-8,W17-1,W17-1-E3,Plate-3,Day-8,8,Sample_2,NA,NA,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172,NA,NA,NA,NA,NA,NA,NA,NA,0.271,NA,NA,NA,NA
Team-1_Plate-3_Day-8,W17-1,W17-1-E3,Plate-3,Day-8,8,Sample_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-4_Day-0,W17-1,W17-1-E4,Plate-4,Day-0,0,Sample_1,NA,0.063,0.059,NA,NA,NA,NA,NA,NA,NA,0.011,0.023,NA,NA,NA,0.123,NA,0.023,0.04,0.005,NA,0.02,NA,NA,NA,NA,0.1,0.126,0.062,NA,NA
Team-1_Plate-4_Day-0,W17-1,W17-1-E4,Plate-4,Day-0,0,Sample_2,NA,0.045,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-4_Day-0,W17-1,W17-1-E4,Plate-4,Day-0,0,Sample_3,0.045,0.051,0.01,NA,NA,NA,NA,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-1_Plate-4_Day-10,W17-1,W17-1-E4,Plate-4,Day-10,10,Sample_1,1.088,0.431,0.54,NA,0.326,0.314,0.898,0.213,0.311,0.464,0.406,0.228,0.533,NA,NA,NA,NA,NA,NA,NA,NA,0.017,0.389,0.118,0.634,NA,0.064,0.036,NA,NA,NA
Team-1_Plate-4_Day-10,W17-1,W17-1-E4,Plate-4,Day-10,10,Sample_2,1.313,0.381,1.029,NA,NA,0.308,NA,1.975,2.531,0.017,2.15,1.962,0.596,0.711,0.11,2.077,1.561,NA,NA,NA,NA,NA,0.454,0.089,1.985,0.078,0.243,NA,0.228,NA,0.126
Team-1_Plate-4_Day-10,W17-1,W17-1-E4,Plate-4,Day-10,10,Sample_3,0.937,0.545,0.604,NA,NA,0.288,0.633,1.239,1.166,0.01,1.676,0.451,0.747,NA,NA,1.07,1.322,NA,0.025,NA,0.914,0.053,0.772,0.921,1.336,0.493,0.18,NA,0.377,NA,NA
Team-1_Plate-4_Day-12,W17-1,W17-1-E4,Plate-4,Day-12,12,Sample_1,1.276,0.627,0.841,NA,0.397,0.545,1.023,0.37,0.554,0.714,0.563,0.387,0.404,NA,NA,0.002,NA,NA,0.052,NA,NA,0.064,0.918,0.199,0.548,NA,0.221,0.044,NA,NA,NA
Team-1_Plate-4_Day-12,W17-1,W17-1-E4,Plate-4,Day-12,12,Sample_2,1.144,0.613,1.132,NA,NA,0.474,NA,1.683,2.352,0.138,2.098,1.841,0.745,0.626,0.034,1.709,1.22,0.074,0.056,NA,0.001,0.002,0.481,0.159,2.206,0.087,0.302,NA,0.209,NA,0.399
Team-1_Plate-4_Day-12,W17-1,W17-1-E4,Plate-4,Day-12,12,Sample_3,1.09,0.473,0.482,NA,NA,0.291,0.506,1.083,1.378,NA,1.772,0.551,0.622,NA,NA,0.954,1.083,NA,NA,NA,0.862,NA,0.461,0.903,1.388,0.403,0.31,NA,0.244,NA,NA
Team-1_Plate-4_Day-6,W17-1,W17-1-E4,Plate-4,Day-6,6,Sample_1,0.162,0.366,0.237,NA,0.102,0.087,0.07,0.03,0.012,0.057,0.123,0.033,0.125,NA,NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA
Team-1_Plate-4_Day-6,W17-1,W17-1-E4,Plate-4,Day-6,6,Sample_2,1.31,0.171,0.448,NA,NA,NA,NA,1.788,1.635,0.027,1.797,1.751,0.008,0.839,0.118,1.08,1.495,NA,0.075,0.028,NA,NA,NA,0.038,0.738,NA,NA,NA,0.115,NA,NA
Team-1_Plate-4_Day-6,W17-1,W17-1-E4,Plate-4,Day-6,6,Sample_3,0.525,0.704,0.118,NA,NA,NA,NA,0.635,0.574,0.01,0.972,0.185,0.495,NA,0.006,1.054,0.792,NA,0.009,NA,0.589,NA,0.239,0.656,0.88,0.21,0.004,NA,0.148,NA,NA
Team-1_Plate-4_Day-8,W17-1,W17-1-E4,Plate-4,Day-8,8,Sample_1,0.469,0.452,0.377,NA,0.226,0.256,0.476,0.125,0.192,0.267,0.286,0.155,0.292,NA,NA,0.018,NA,NA,NA,NA,NA,NA,0.114,0.052,0.308,NA,0.033,NA,NA,NA,NA
Team-1_Plate-4_Day-8,W17-1,W17-1-E4,Plate-4,Day-8,8,Sample_2,1.256,0.165,0.45,NA,NA,0.025,NA,1.782,1.938,0.021,1.707,1.792,0.298,0.706,0.109,1.265,1.245,NA,0.025,NA,NA,NA,0.118,0.085,1.02,0.002,0.062,NA,0.119,NA,NA
Team-1_Plate-4_Day-8,W17-1,W17-1-E4,Plate-4,Day-8,8,Sample_3,0.808,0.54,0.335,NA,NA,0.051,0.153,0.852,0.829,NA,1.418,0.172,0.535,NA,NA,1.133,1.663,NA,NA,NA,0.738,NA,0.451,0.821,1.143,0.319,0.065,NA,0.201,NA,NA
Team-2_Plate-1_Day-10,W17-2,W17-2-E1,Plate-1,Day-10,10,Sample_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,NA,NA,NA,NA,NA,NA
Team-2_Plate-1_Day-10,W17-2,W17-2-E1,Plate-1,Day-10,10,Sample_2,NA,0.524,NA,NA,NA,NA,NA,0.017,NA,NA,0.043,0.473,NA,NA,NA,0.065,NA,NA,NA,NA,NA,NA,NA,0.027,NA,NA,NA,NA,NA,NA,0.097
Team-2_Plate-1_Day-10,W17-2,W17-2-E1,Plate-1,Day-10,10,Sample_3,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-2_Plate-1_Day-12,W17-2,W17-2-E1,Plate-1,Day-12,12,Sample_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.286,NA,NA,NA,NA,NA,0.012,NA,NA,NA,NA,NA,NA,NA,NA,0.145,0.001,NA,NA,NA,NA,NA
Team-2_Plate-1_Day-12,W17-2,W17-2-E1,Plate-1,Day-12,12,Sample_2,NA,0.417,NA,NA,NA,0.155,NA,0.001,NA,NA,0.128,0.526,NA,NA,NA,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019
Team-2_Plate-1_Day-12,W17-2,W17-2-E1,Plate-1,Day-12,12,Sample_3,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-2_Plate-1_Day-6,W17-2,W17-2-E1,Plate-1,Day-6,6,Sample_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,NA,NA,NA,NA,NA
Team-2_Plate-1_Day-6,W17-2,W17-2-E1,Plate-1,Day-6,6,Sample_2,NA,0.13,0.006,NA,NA,NA,NA,NA,NA,NA,0.011,0.051,NA,NA,NA,0.072,NA,NA,0.027,0.008,NA,NA,NA,0.023,NA,0.016,NA,0,NA,0,NA
Team-2_Plate-1_Day-6,W17-2,W17-2-E1,Plate-1,Day-6,6,Sample_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-2_Plate-1_Day-8,W17-2,W17-2-E1,Plate-1,Day-8,8,Sample_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-2_Plate-1_Day-8,W17-2,W17-2-E1,Plate-1,Day-8,8,Sample_2,NA,0.57,NA,NA,NA,NA,NA,0.003,NA,NA,0.012,0.274,NA,NA,NA,0.061,NA,NA,NA,NA,NA,NA,NA,0.016,NA,NA,NA,NA,NA,NA,0.052
Team-2_Plate-1_Day-8,W17-2,W17-2-E1,Plate-1,Day-8,8,Sample_3,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-2_Plate-2_Day-10,W17-2,W17-2-E2,Plate-2,Day-10,10,Sample_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-2_Plate-2_Day-10,W17-2,W17-2-E2,Plate-2,Day-10,10,Sample_2,NA,0.013,0.007,0.031,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,NA,0.023,0.021,0.018,NA,NA,NA,NA,0.054,NA,NA,0.005,0.001,NA,NA
Team-2_Plate-2_Day-10,W17-2,W17-2-E2,Plate-2,Day-10,10,Sample_3,0.06,NA,0.008,NA,NA,NA,NA,0.04,NA,NA,0.034,NA,NA,0.019,NA,0.066,0.027,NA,NA,0.001,0.025,0.004,NA,0.084,0.035,0.023,0.047,0.017,0.023,NA,NA
Team-2_Plate-2_Day-12,W17-2,W17-2-E2,Plate-2,Day-12,12,Sample_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-2_Plate-2_Day-12,W17-2,W17-2-E2,Plate-2,Day-12,12,Sample_2,0.02,0.039,0.019,0.035,0.041,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.021,NA,0.038,0.023,0.015,NA,NA,NA,NA,0.078,0.01,NA,0.007,0.005,NA,NA
Team-2_Plate-2_Day-12,W17-2,W17-2-E2,Plate-2,Day-12,12,Sample_3,0.083,NA,0.008,NA,NA,NA,NA,0.056,0.005,0.023,0.013,NA,NA,0.044,NA,0.087,0.059,0.008,0.02,0.019,0.046,0.038,NA,0.127,0.09,0.086,0.095,0.051,0.04,0.02,NA
Team-2_Plate-2_Day-6,W17-2,W17-2-E2,Plate-2,Day-6,6,Sample_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-2_Plate-2_Day-6,W17-2,W17-2-E2,Plate-2,Day-6,6,Sample_2,NA,0.061,0.052,0.057,0.056,NA,NA,NA,NA,NA,0.024,NA,0,NA,NA,0.008,NA,0.064,0.067,0.057,0.012,0.011,NA,NA,0.084,0.038,0.047,0.041,0.034,0.019,NA
Team-2_Plate-2_Day-6,W17-2,W17-2-E2,Plate-2,Day-6,6,Sample_3,0.095,0.01,0.054,NA,NA,NA,NA,0.043,0.004,0.044,0.084,0.005,NA,0.07,NA,0.079,0.064,0.031,0.045,0.044,0.063,0.053,NA,0.097,0.075,0.097,0.131,0.092,0.091,0.077,0.011
Team-2_Plate-2_Day-8,W17-2,W17-2-E2,Plate-2,Day-8,8,Sample_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team-2_Plate-2_Day-8,W17-2,W17-2-E2,Plate-2,Day-8,8,Sample_2,NA,0.061,0.053,0.063,0.067,NA,NA,NA,NA,NA,0.02,NA,0.002,NA,NA,NA,NA,0.048,0.056,0.036,NA,NA,NA,NA,0.075,0.025,0.042,0.034,0.029,0.013,NA
Team-2_Plate-2_Day-8,W17-2,W17-2-E2,Plate-2,Day-8,8,Sample_3,0.081,0.01,0.055,NA,NA,NA,NA,0.05,0.004,0.021,0.08,NA,NA,0.061,NA,0.077,0.059,0.028,0.047,0.044,0.056,0.039,NA,0.074,0.053,0.066,0.093,0.059,0.06,0.048,0.025
Team-2_Plate-3_Day-10,W17-2,W17-2-E3,Plate-3,Day-10,10,Sample_1,NA,NA,NA,NA,NA,NA,NA,0.035,NA,NA,NA,NA,NA,NA,NA,0.023,NA,NA,NA,NA,NA,NA,NA,0.038,0.007,0.006,NA,NA,NA,NA,NA
Team-2_Plate-3_Day-10,W17-2,W17-2-E3,Plate-3,Day-10,10,Sample_2,NA,0,NA,NA,NA,NA,NA,0.051,NA,NA,NA,NA,NA,NA,NA,0.063,NA,NA,NA,NA,NA,NA,NA,0.054,NA,NA,NA,NA,NA,NA,NA
Team-2_Plate-3_Day-10,W17-2,W17-2-E3,Plate-3,Day-10,10,Sample_3,NA,NA,NA,NA,NA,NA,NA,0.004,0.204,NA,NA,NA,NA,NA,NA,0.006,NA,NA,NA,NA,NA,NA,NA,0.015,NA,0.008,NA,0.063,NA,NA,NA
Team-2_Plate-3_Day-12,W17-2,W17-2-E3,Plate-3,Day-12,12,Sample_1,NA,NA,NA,NA,NA,NA,NA,0.037,NA,NA,NA,NA,NA,NA,NA,0.023,NA,NA,NA,NA,NA,NA,NA,0.049,0.005,0.039,NA,NA,NA,NA,NA
